fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted,event_id,event_title,event_date,event_location,event_attendance,event_url
6424,"UFC Fight Night: Marquardt vs Palhares","Charles Oliveira","Efrain Escudero",Lightweight,SUB,"Rear Naked Choke",3,2:25,a24121c70f773fe2,27233,6424,642,3,"Efrain Escudero",0,4,23,0,0,0,0,0,0:20,27233,6424,642,3,"Efrain Escudero",2,19,1,2,1,2,3,22,1,1,0,0,642,"UFC Fight Night: Marquardt vs Palhares",2010-09-15,"Austin, Texas, USA","7,724",acff437707625fc7
6424,"UFC Fight Night: Marquardt vs Palhares","Charles Oliveira","Efrain Escudero",Lightweight,SUB,"Rear Naked Choke",3,2:25,a24121c70f773fe2,27234,6424,642,3,"Charles Oliveira",0,12,21,1,1,1,1,0,0:29,27234,6424,642,3,"Charles Oliveira",3,9,3,6,3,3,8,17,1,1,0,0,642,"UFC Fight Night: Marquardt vs Palhares",2010-09-15,"Austin, Texas, USA","7,724",acff437707625fc7
6861,"UFC LIVE: Jones vs Matyushenko","Charles Oliveira","Darren Elkins",Lightweight,SUB,Armbar,1,0:41,db1c5b5a710fbdb0,28157,6861,702,1,"Darren Elkins",0,0,4,1,1,0,0,0,0:27,28157,6861,702,1,"Darren Elkins",0,4,0,0,0,0,0,4,0,0,0,0,702,"UFC LIVE: Jones vs Matyushenko",2010-08-01,"San Diego, California, US","8,132",f12f979b657ab876
6861,"UFC LIVE: Jones vs Matyushenko","Charles Oliveira","Darren Elkins",Lightweight,SUB,Armbar,1,0:41,db1c5b5a710fbdb0,28158,6861,702,1,"Charles Oliveira",0,3,4,0,0,2,0,0,0:00,28158,6861,702,1,"Charles Oliveira",2,3,0,0,1,1,1,1,0,0,2,3,702,"UFC LIVE: Jones vs Matyushenko",2010-08-01,"San Diego, California, US","8,132",f12f979b657ab876
7927,"UFC 256: Figueiredo vs. Moreno","Charles Oliveira","Tony Ferguson",Lightweight,U-DEC,NULL,3,5:00,b7b867eb3c3cf163,33405,7927,903,1,"Tony Ferguson",0,11,29,0,0,0,NULL,0,0:00,33405,7927,903,1,"Tony Ferguson",7,21,2,5,2,3,11,29,0,0,0,0,903,"UFC 256: Figueiredo vs. Moreno",2020-12-12,"Las Vegas, Nevada, USA",NULL,d0d43cb9b14f231c
7927,"UFC 256: Figueiredo vs. Moreno","Charles Oliveira","Tony Ferguson",Lightweight,U-DEC,NULL,3,5:00,b7b867eb3c3cf163,33406,7927,903,1,"Charles Oliveira",0,28,43,1,1,2,NULL,0,3:35,33406,7927,903,1,"Charles Oliveira",12,22,1,3,3,3,9,19,0,0,7,9,903,"UFC 256: Figueiredo vs. Moreno",2020-12-12,"Las Vegas, Nevada, USA",NULL,d0d43cb9b14f231c
7927,"UFC 256: Figueiredo vs. Moreno","Charles Oliveira","Tony Ferguson",Lightweight,U-DEC,NULL,3,5:00,b7b867eb3c3cf163,33407,7927,903,2,"Tony Ferguson",0,11,12,0,0,0,NULL,0,0:00,33407,7927,903,2,"Tony Ferguson",5,5,1,2,0,0,2,3,1,1,3,3,903,"UFC 256: Figueiredo vs. Moreno",2020-12-12,"Las Vegas, Nevada, USA",NULL,d0d43cb9b14f231c
7927,"UFC 256: Figueiredo vs. Moreno","Charles Oliveira","Tony Ferguson",Lightweight,U-DEC,NULL,3,5:00,b7b867eb3c3cf163,33408,7927,903,2,"Charles Oliveira",0,34,38,1,1,0,NULL,0,4:05,33408,7927,903,2,"Charles Oliveira",6,9,3,4,3,3,4,6,0,0,8,10,903,"UFC 256: Figueiredo vs. Moreno",2020-12-12,"Las Vegas, Nevada, USA",NULL,d0d43cb9b14f231c
7927,"UFC 256: Figueiredo vs. Moreno","Charles Oliveira","Tony Ferguson",Lightweight,U-DEC,NULL,3,5:00,b7b867eb3c3cf163,33409,7927,903,3,"Tony Ferguson",0,4,8,0,0,0,NULL,0,0:05,33409,7927,903,3,"Tony Ferguson",2,3,0,3,0,0,2,6,0,0,0,0,903,"UFC 256: Figueiredo vs. Moreno",2020-12-12,"Las Vegas, Nevada, USA",NULL,d0d43cb9b14f231c
7927,"UFC 256: Figueiredo vs. Moreno","Charles Oliveira","Tony Ferguson",Lightweight,U-DEC,NULL,3,5:00,b7b867eb3c3cf163,33410,7927,903,3,"Charles Oliveira",0,24,31,1,1,1,NULL,0,3:59,33410,7927,903,3,"Charles Oliveira",8,12,3,4,2,3,4,9,0,0,9,10,903,"UFC 256: Figueiredo vs. Moreno",2020-12-12,"Las Vegas, Nevada, USA",NULL,d0d43cb9b14f231c
8130,"UFC 262: Oliveira vs. Chandler","Charles Oliveira","Michael Chandler",Lightweight,KO/TKO,Punch,2,0:19,fef29aa73bd5b907,34399,8130,921,1,"Charles Oliveira",0,18,24,1,2,0,NULL,0,1:39,34399,8130,921,1,"Charles Oliveira",6,10,1,2,3,3,7,11,0,0,3,4,921,"UFC 262: Oliveira vs. Chandler",2021-05-15,"Houston, Texas, USA",NULL,744f50016c39c26c
